Name,Gender,id,Age,Section,Science,English,History,Maths,Average,Performance_Tier
Dunn,Male,11,15,C,100,93,87,81,90.25,Distinction
Patrizia,Male,121,13,A,79,88,96,93,89.0,Distinction
Nil,Female,69,15,A,84,97,70,96,86.75,Distinction
Daffi,Female,92,15,A,79,82,99,81,85.25,Distinction
Ruddie,Female,201,15,B,84,97,88,64,83.25,Distinction
Val,Male,179,13,B,95,73,91,61,80.0,Merit
Herold,Male,151,13,A,92,97,62,69,80.0,Merit
Luelle,Male,40,13,B,100,52,89,76,79.25,Merit
Leda,Female,223,15,B,92,76,72,71,77.75,Merit
Malissa,Female,6,14,C,98,51,85,76,77.5,Merit
Charmine,Female,27,14,A,93,93,83,40,77.25,Merit
Valma,Female,24,14,C,48,83,79,95,76.25,Merit
Davidde,Male,181,13,C,98,100,23,84,76.25,Merit
Inger,Female,150,13,B,53,95,75,81,76.0,Merit
Humfrid,Female,135,13,B,96,100,42,62,75.0,Merit
Zenia,Female,209,14,C,59,94,94,47,73.5,Merit
Domingo,Male,244,13,C,95,63,65,71,73.5,Merit
Jaquenette,Male,147,15,C,33,75,98,84,72.5,Merit
Rosalyn,Male,206,15,C,54,89,59,88,72.5,Merit
Patty,Male,160,14,B,61,89,70,68,72.0,Merit
Opalina,Female,19,13,B,62,77,75,72,71.5,Merit
Emmanuel,Female,142,14,B,77,79,92,36,71.0,Merit
Merrick,Male,13,15,A,65,89,96,34,71.0,Merit
Bethena,Male,74,13,B,46,89,83,64,70.5,Merit
Adrianne,Female,149,15,C,51,67,67,91,69.0,Merit
Livia,Male,30,13,C,95,65,25,91,69.0,Merit
Mortimer,Male,234,15,C,91,33,71,81,69.0,Merit
Adah,Female,39,13,A,71,90,78,35,68.5,Merit
Missy,Female,15,13,B,98,18,84,74,68.5,Merit
Winslow,Female,60,14,B,61,71,77,64,68.25,Merit
Baudoin,Male,202,14,C,89,59,33,91,68.0,Merit
Fran,Female,171,15,B,34,74,83,81,68.0,Merit
Britt,Male,237,15,C,92,87,38,53,67.5,Merit
Alyse,Male,120,14,A,80,34,85,71,67.5,Merit
Eadmund,Female,130,13,A,23,88,90,68,67.25,Merit
Romonda,Female,225,13,C,84,10,82,93,67.25,Merit
Hanan,Male,28,14,A,60,36,86,87,67.25,Merit
Lorrie,Male,73,13,A,72,78,40,78,67.0,Merit
Shannon,Male,64,15,B,78,74,31,85,67.0,Merit
Kaia,Male,248,15,B,93,48,82,44,66.75,Merit
Bil,Female,71,15,C,95,32,91,48,66.5,Merit
Hetty,Female,42,13,B,21,89,72,84,66.5,Merit
Orin,Female,124,15,B,70,75,21,99,66.25,Merit
Hildegaard,Male,101,14,A,64,68,89,43,66.0,Merit
Reg,Male,212,15,A,85,8,88,82,65.75,Merit
Gracie,Female,14,13,B,93,38,39,93,65.75,Merit
Rosalynd,Male,79,13,C,27,96,89,49,65.25,Merit
Reagan,Male,159,14,A,73,71,87,30,65.25,Merit
Betteann,Male,215,13,C,68,79,71,41,64.75,Merit
Kath,Male,117,14,A,63,74,46,76,64.75,Merit
Tymothy,Male,132,13,C,13,73,76,95,64.25,Merit
Amery,Male,21,13,A,76,96,67,17,64.0,Merit
Ilaire,Male,169,14,C,95,56,4,100,63.75,Merit
Nita,Male,196,14,A,92,57,31,75,63.75,Merit
Susy,Female,129,15,B,28,94,61,72,63.75,Merit
Shanie,Male,116,14,A,80,92,53,30,63.75,Merit
Cobby,Male,90,15,C,64,20,86,84,63.5,Merit
Jody,Male,78,15,B,87,45,73,48,63.25,Merit
Evangelin,Male,213,15,C,63,92,38,60,63.25,Merit
Shalom,Female,175,14,B,63,9,91,88,62.75,Merit
Lazar,Female,238,15,A,54,34,66,97,62.75,Merit
Sheffie,Female,88,15,C,44,55,51,100,62.5,Merit
Fanny,Female,62,13,C,49,90,13,98,62.5,Merit
Stillman,Male,231,15,B,50,70,31,98,62.25,Merit
Desmund,Male,172,14,A,86,92,8,62,62.0,Merit
Zack,Male,218,13,B,72,46,40,90,62.0,Merit
Silvia,Male,98,14,A,40,61,63,80,61.0,Merit
Lief,Male,55,15,B,55,64,56,69,61.0,Merit
Jeannie,Male,105,13,B,68,97,31,48,61.0,Merit
Richard,Male,182,13,A,62,42,87,51,60.5,Merit
Tabbi,Female,224,13,A,100,95,36,10,60.25,Merit
Aldin,Female,158,13,C,72,24,83,62,60.25,Merit
Maureene,Female,228,14,B,78,63,62,38,60.25,Merit
Davis,Male,208,13,A,56,12,75,96,59.75,Pass
Tucky,Female,214,15,A,87,17,94,41,59.75,Pass
Billie,Female,184,13,C,53,37,83,64,59.25,Pass
Gilberta,Male,16,15,A,53,30,90,64,59.25,Pass
Natty,Female,222,13,A,60,52,85,39,59.0,Pass
Guntar,Male,177,13,B,92,36,59,48,58.75,Pass
Sarah,Female,156,13,B,55,99,8,72,58.5,Pass
Anni,Female,249,14,B,35,73,66,59,58.25,Pass
Candide,Female,152,15,A,26,76,56,75,58.25,Pass
Brien,Female,85,13,C,36,95,55,46,58.0,Pass
Alis,Male,145,15,A,76,53,32,69,57.5,Pass
Rollie,Female,52,13,A,17,99,29,85,57.5,Pass
Rosamond,Male,173,15,C,55,62,57,56,57.5,Pass
Ruperto,Female,188,14,B,60,55,30,83,57.0,Pass
Alvin,Female,102,13,B,80,28,53,67,57.0,Pass
Teresita,Male,81,15,A,1,90,42,94,56.75,Pass
Moselle,Female,178,15,A,87,39,48,53,56.75,Pass
Ichabod,Female,7,14,B,38,74,54,60,56.5,Pass
Jaymie,Male,72,14,C,48,59,60,58,56.25,Pass
Peggy,Male,17,13,A,91,45,44,45,56.25,Pass
Skipp,Male,51,14,C,31,37,77,79,56.0,Pass
Everett,Female,47,14,A,84,57,25,57,55.75,Pass
Fannie,Male,207,14,C,49,48,81,44,55.5,Pass
Tammy,Male,220,13,B,81,63,16,62,55.5,Pass
Nadia,Female,236,15,B,98,30,37,56,55.25,Pass
Sascha,Female,75,13,B,85,10,62,62,54.75,Pass
Claudina,Male,38,14,C,90,62,45,21,54.5,Pass
Mufi,Female,65,14,C,88,72,31,27,54.5,Pass
Vinny,Male,49,13,B,81,25,99,13,54.5,Pass
Woodie,Male,104,15,A,37,57,48,75,54.25,Pass
Arvie,Female,44,15,B,26,46,81,63,54.0,Pass
Kirk,Female,217,14,A,71,88,44,13,54.0,Pass
Drusi,Male,68,15,C,39,7,100,70,54.0,Pass
Fernande,Male,250,15,B,50,8,80,78,54.0,Pass
Adolphus,Male,97,13,A,19,98,13,86,54.0,Pass
Janey,Male,242,15,C,3,49,67,96,53.75,Pass
Buffy,Male,219,14,C,58,60,7,90,53.75,Pass
Bronnie,Female,1,13,C,21,81,62,49,53.25,Pass
Jehanna,Female,134,15,C,77,25,85,26,53.25,Pass
Rina,Female,107,14,C,57,68,13,74,53.0,Pass
Danya,Female,3,14,C,12,87,16,96,52.75,Pass
Matt,Female,112,15,A,23,65,72,51,52.75,Pass
Keeley,Male,167,15,C,84,8,71,48,52.75,Pass
Purcell,Male,185,14,B,75,14,54,68,52.75,Pass
Georgia,Female,96,15,A,58,10,99,44,52.75,Pass
Karrie,Male,50,14,A,94,15,66,34,52.25,Pass
Dannel,Male,82,15,C,84,85,14,24,51.75,Pass
Olivia,Female,194,13,B,48,4,79,76,51.75,Pass
Ranee,Female,89,15,A,58,16,64,67,51.25,Pass
Paten,Male,157,15,C,67,88,41,8,51.0,Pass
Alaine,Male,186,15,A,48,2,63,91,51.0,Pass
Josefa,Male,113,13,C,22,78,77,26,50.75,Pass
Teddy,Male,46,14,A,50,22,50,78,50.0,Pass
Ivan,Male,176,14,C,95,21,51,33,50.0,Pass
Emlyn,Male,155,14,C,32,3,69,96,50.0,Pass
Pepi,Female,162,13,A,100,64,16,20,50.0,Pass
Kent,Male,230,15,C,15,26,83,75,49.75,Pass
Alysa,Male,233,14,B,65,32,67,35,49.75,Pass
Olenka,Female,56,14,B,53,53,49,43,49.5,Pass
Beverlie,Male,8,14,B,25,51,41,80,49.25,Pass
Danni,Female,148,13,B,92,67,13,25,49.25,Pass
Richie,Female,31,15,B,14,83,9,90,49.0,Pass
Elyn,Male,216,15,A,5,86,48,57,49.0,Pass
Claudell,Male,241,14,C,76,15,70,35,49.0,Pass
Elton,Male,80,13,B,13,18,80,82,48.25,Pass
Susi,Male,153,13,A,23,41,49,79,48.0,Pass
Loella,Female,100,15,A,66,20,76,30,48.0,Pass
David,Female,77,13,B,27,2,63,100,48.0,Pass
Ario,Male,95,14,A,64,18,73,37,48.0,Pass
Bennie,Male,127,14,B,76,36,32,47,47.75,Pass
Josh,Female,37,14,A,54,23,19,94,47.5,Pass
Fredric,Male,125,14,B,68,20,21,81,47.5,Pass
Cristian,Male,143,13,B,5,3,97,84,47.25,Pass
Estel,Male,191,14,C,38,66,53,32,47.25,Pass
Tabbie,Male,54,15,C,23,44,76,46,47.25,Pass
Page,Male,163,15,B,44,47,43,55,47.25,Pass
Alard,Female,164,13,A,91,12,15,70,47.0,Pass
Hali,Male,166,13,C,67,21,60,40,47.0,Pass
Jessamine,Female,70,14,B,34,71,35,47,46.75,Pass
Christan,Female,66,14,C,85,6,10,85,46.5,Pass
Johannes,Female,41,15,C,10,78,56,41,46.25,Pass
Anna-diane,Female,36,15,C,93,53,10,29,46.25,Pass
Guido,Female,144,13,C,63,12,69,41,46.25,Pass
Eugine,Male,84,13,C,34,18,39,94,46.25,Pass
Cherry,Female,110,14,B,82,54,31,18,46.25,Pass
Maude,Male,232,13,A,81,45,22,36,46.0,Pass
Codi,Male,199,14,C,30,62,32,60,46.0,Pass
Brendin,Male,99,14,C,72,51,50,11,46.0,Pass
Jayme,Male,192,13,B,39,14,77,53,45.75,Pass
Denna,Female,4,14,B,15,53,82,33,45.75,Pass
Cherie,Male,76,15,C,32,31,89,30,45.5,Pass
Ricky,Female,140,13,B,21,65,90,4,45.0,Pass
Amabel,Male,83,14,A,59,12,45,64,45.0,Pass
Ruben,Female,53,15,B,15,84,40,40,44.75,Pass
Valaria,Male,12,13,B,19,5,78,76,44.5,Pass
Adrian,Male,29,13,C,19,8,76,75,44.5,Pass
Bobbee,Female,61,14,C,16,57,90,14,44.25,Pass
Sebastian,Female,183,15,A,60,42,49,25,44.0,Pass
Virgie,Female,108,14,B,56,75,5,40,44.0,Pass
Nealon,Male,204,14,B,84,10,71,8,43.25,Pass
Fleming,Male,235,13,C,31,9,79,54,43.25,Pass
Jocelyne,Female,106,14,C,62,4,75,32,43.25,Pass
Oberon,Female,189,15,C,87,21,41,24,43.25,Pass
Aubrey,Female,87,13,A,8,72,78,14,43.0,Pass
Agace,Male,86,15,C,17,75,8,71,42.75,Pass
Vivyan,Male,211,14,A,28,30,80,33,42.75,Pass
Lyda,Female,48,15,C,78,58,1,33,42.5,Pass
Ashlin,Female,239,14,A,49,47,19,55,42.5,Pass
Jone,Male,25,14,A,17,87,16,50,42.5,Pass
Yardley,Female,59,14,C,41,37,26,65,42.25,Pass
Bevan,Male,139,13,B,52,62,44,10,42.0,Pass
Blisse,Female,131,15,B,85,30,50,2,41.75,Pass
Brandise,Male,123,13,A,18,100,39,8,41.25,Pass
Elbertina,Female,197,14,A,82,4,56,22,41.0,Pass
Pat,Male,126,15,A,29,6,43,85,40.75,Pass
Hinze,Male,57,15,A,46,37,63,17,40.75,Pass
Benoite,Male,22,14,B,3,55,14,90,40.5,Pass
Aretha,Female,119,13,C,2,60,67,29,39.5,Fail
Ermina,Female,170,15,B,38,17,76,26,39.25,Fail
Rae,Female,26,15,A,16,59,18,64,39.25,Fail
Jacenta,Male,45,15,C,65,7,57,27,39.0,Fail
Morganne,Female,93,15,A,22,86,9,38,38.75,Fail
Tommy,Female,35,13,B,5,75,13,61,38.5,Fail
Dael,Female,94,13,A,43,65,18,26,38.0,Fail
Tamra,Female,33,14,C,17,74,11,49,37.75,Fail
Ericka,Male,221,14,A,6,53,71,21,37.75,Fail
Carol,Female,198,14,B,98,13,35,4,37.5,Fail
Darya,Male,195,15,C,13,35,71,30,37.25,Fail
Goldarina,Male,187,14,A,27,11,18,92,37.0,Fail
Merle,Female,23,13,C,5,83,19,39,36.5,Fail
Issie,Male,58,14,A,64,1,74,6,36.25,Fail
Barde,Female,161,15,C,58,25,23,39,36.25,Fail
Fidelia,Female,165,15,C,35,39,61,9,36.0,Fail
Lindsay,Male,133,15,A,19,14,43,68,36.0,Fail
Coretta,Male,114,14,A,41,52,29,21,35.75,Fail
Dory,Female,18,13,B,5,89,25,23,35.5,Fail
Vaughn,Male,109,14,C,11,30,83,17,35.25,Fail
Brandie,Male,43,15,B,43,2,17,78,35.0,Fail
Norri,Male,203,14,B,45,21,61,13,35.0,Fail
Amber,Female,180,15,C,32,5,53,49,34.75,Fail
Milo,Female,154,14,A,47,16,55,21,34.75,Fail
Rog,Female,247,13,B,1,4,68,65,34.5,Fail
Gloria,Male,122,14,C,4,37,50,47,34.5,Fail
Margaux,Male,174,14,A,94,28,6,9,34.25,Fail
Zarla,Female,34,15,B,54,18,46,17,33.75,Fail
Chris,Female,115,13,C,23,13,28,69,33.25,Fail
Ailene,Female,137,15,C,52,39,37,3,32.75,Fail
Hector,Female,136,13,C,5,10,75,38,32.0,Fail
Lemmie,Male,2,15,B,29,41,17,40,31.75,Fail
Hebert,Male,193,15,A,50,48,13,15,31.5,Fail
Corrine,Male,9,15,A,39,16,22,49,31.5,Fail
